1|Admin|17-12-2025 18:51:41
1|Admin|17-12-2025 19:02:59
1|Admin|17-12-2025 19:49:43
1|Employe|17-12-2025 19:58:46
1|Admin|17-12-2025 20:04:01
1|Admin|17-12-2025 20:07:24
1|Employe|17-12-2025 20:13:39
1|Employe|17-12-2025 20:16:19
1|Employe|17-12-2025 20:32:36
1|Employe|17-12-2025 20:34:18
1|Employe|17-12-2025 20:40:12
1|Admin|17-12-2025 20:40:41
1|Admin|17-12-2025 20:59:56
1|Employe|17-12-2025 21:05:50
1|Admin|17-12-2025 21:08:34
1|Admin|17-12-2025 21:11:21
1|Admin|17-12-2025 21:23:40
1|Admin|17-12-2025 21:32:31
1|Admin|17-12-2025 21:36:46
1|Admin|17-12-2025 21:43:25
1|Admin|17-12-2025 21:50:25
1|Admin|17-12-2025 21:53:48
1|Admin|17-12-2025 22:33:57
1|Admin|18-12-2025 02:22:57
1|Admin|18-12-2025 02:29:00
1|Admin|18-12-2025 02:35:34
1|Admin|18-12-2025 02:41:39
1|Admin|18-12-2025 02:52:49
1|Employe|18-12-2025 02:58:55
1|Admin|18-12-2025 03:03:42
1|Admin|18-12-2025 03:08:09
1|Admin|24-12-2025 00:01:56
1|Employe|24-12-2025 00:11:04
1|Admin|24-12-2025 00:12:17
1|Admin|24-12-2025 00:39:01
1|Admin|24-12-2025 00:43:32
1|Admin|24-12-2025 01:08:57
1|Admin|24-12-2025 01:09:43
3|Employe|24-12-2025 01:18:24
1|Employe|24-12-2025 01:18:40
1|Admin|24-12-2025 01:18:56
3|Employe|24-12-2025 01:19:42
1|Admin|24-12-2025 01:26:29
3|Employe|24-12-2025 01:30:31
4|Employe|24-12-2025 01:33:14
1|Employe|24-12-2025 01:33:30
1|Admin|24-12-2025 01:38:15
1|Admin|24-12-2025 01:52:44
